Test Name,Avg Pearson,Avg Cosine,Avg KL,Avg MMD,Avg GAN-Test P-value
N,0.8896743308363009,0.9050439824635477,0.29038334199409616,0.055791793988164445,0.29504064145331066
7BA,0.8095109826223443,0.8202608837711813,0.4217499021918727,0.10288238131440455,0.10671780255036233
7IR,0.670863487775307,0.727849780202641,0.4636059821734223,0.07888675921758098,0.08527569334475997
7OR1,0.7363475810823924,0.7627193582818425,0.43491084195839674,0.10730389562491123,0.17242351068822565
14BA,0.6729241658097079,0.7118387536212886,0.490978155924521,0.037523887673932915,0.2888209436779679
14IR,0.756614701522961,0.7806366649184702,0.38893344234316873,0.04932197216586442,0.09441078297831622
14OR1,0.7088828572104222,0.7395488440548426,0.4362899572295564,0.05298958184411859,0.0756811332292361
21BA,0.7170900423537527,0.7403371163847986,0.4293472683704494,0.06789707924511482,0.03923929643014687
21IR,0.7733021225866437,0.7926944088114503,0.39940631014984207,0.07529301458170845,0.10809886300928992
21OR1,0.7003314839231688,0.7311089605012917,0.5319945036410058,0.02870013913411137,0.272613906618475
