gen_frac_total,gen_percent_total,total_mean,total_std,class_N_mean,class_N_std,class_7IR_mean,class_7IR_std,class_7BA_mean,class_7BA_std,class_7OR_mean,class_7OR_std,class_14IR_mean,class_14IR_std,class_14BA_mean,class_14BA_std,class_14OR_mean,class_14OR_std,class_21IR_mean,class_21IR_std,class_21BA_mean,class_21BA_std,class_21OR_mean,class_21OR_std,class_IR28_mean,class_IR28_std,class_BA28_mean,class_BA28_std
0.0,0,0.9846715328467154,0.017102736516583922,1.0,0.0,1.0,0.0,0.9923076923076923,0.023076923076923064,0.9851648351648352,0.029695756300816816,0.8333333333333333,0.3073181485764296,0.9928571428571429,0.02142857142857142,0.9697802197802197,0.05055243660554492,1.0,0.0,0.9461538461538461,0.16153846153846152,1.0,0.0,0.9857142857142858,0.04285714285714288,1.0,0.0
0.1,10,0.983941605839416,0.013772235229279726,1.0,0.0,1.0,0.0,1.0,0.0,0.9780219780219781,0.033601944728397025,0.7999999999999999,0.2666666666666667,1.0,0.0,0.9780219780219781,0.033601944728397025,0.9692307692307693,0.051024996774698454,0.9538461538461538,0.07050116453778214,1.0,0.0,1.0,0.0,1.0,0.0
0.2,20,0.9795620437956204,0.01524132337067234,1.0,0.0,1.0,0.0,1.0,0.0,0.9923076923076923,0.02307692307692306,0.6666666666666666,0.39440531887330776,0.9642857142857142,0.10714285714285711,0.9412087912087911,0.0639844542464744,0.9923076923076923,0.023076923076923064,0.9846153846153847,0.03076923076923074,1.0,0.0,1.0,0.0,0.9857142857142858,0.04285714285714287
0.3,30,0.9861313868613137,0.013239676749793454,1.0,0.0,1.0,0.0,1.0,0.0,0.9697802197802197,0.07015990843838865,0.8666666666666666,0.22110831935702663,0.9857142857142858,0.028571428571428564,0.9631868131868131,0.048777470593332276,0.9923076923076923,0.02307692307692306,0.9846153846153847,0.03076923076923074,1.0,0.0,1.0,0.0,0.9857142857142858,0.04285714285714288
0.4,40,0.9686131386861314,0.017894380543257322,1.0,0.0,1.0,0.0,1.0,0.0,0.9857142857142858,0.028571428571428564,0.7666666666666666,0.3,0.9785714285714286,0.03273268353539884,0.8521978021978024,0.1883974516992908,0.976923076923077,0.06923076923076922,0.9692307692307693,0.051024996774698454,1.0,0.0,0.9857142857142858,0.04285714285714288,0.9571428571428571,0.09147320339189784
0.5,50,0.9518248175182482,0.03426772144322775,1.0,0.0,0.9923076923076923,0.02307692307692306,0.9692307692307693,0.09230769230769234,0.9175824175824175,0.07747057904182228,0.7666666666666667,0.21343747458109497,0.9642857142857144,0.0479157423749955,0.9104395604395604,0.10008600335041169,0.9000000000000001,0.20366465069036502,0.9692307692307693,0.051024996774698454,0.9785714285714286,0.045736601695948925,0.9857142857142858,0.04285714285714288,0.9285714285714285,0.21428571428571427
0.6,60,0.9481751824817518,0.05134972945098266,1.0,0.0,1.0,0.0,1.0,0.0,0.9928571428571429,0.02142857142857142,0.6333333333333334,0.27688746209726917,0.9357142857142857,0.09285714285714286,0.8494505494505497,0.2642874277434117,0.9538461538461538,0.11512791959304433,0.9384615384615385,0.1076923076923077,0.9714285714285715,0.06546536707079773,0.9000000000000001,0.21237241067597867,0.9285714285714286,0.095831484749991
0.7,70,0.9321167883211678,0.050152944193582155,1.0,0.0,1.0,0.0,1.0,0.0,0.9175824175824177,0.10517350429894856,0.6666666666666667,0.2981423969999719,0.9500000000000002,0.055787497685047545,0.8478021978021978,0.19763500259797592,0.8076923076923077,0.30430831453619206,0.9153846153846155,0.12616322666812865,0.9857142857142858,0.02857142857142856,0.9142857142857143,0.2138089935299395,1.0,0.0
0.8,80,0.9350364963503649,0.02778520629295515,1.0,0.0,1.0,0.0,1.0,0.0,0.9252747252747253,0.09015678222403813,0.7666666666666667,0.21343747458109497,0.9071428571428571,0.05578749768504756,0.8956043956043956,0.09624014965191785,0.823076923076923,0.1378190220551455,0.9307692307692308,0.0873678207046196,0.9357142857142857,0.08112726208286106,0.9857142857142858,0.04285714285714288,0.9571428571428571,0.06546536707079775
0.9,90,0.8467153284671532,0.05616170528955136,1.0,0.0,1.0,0.0,1.0,0.0,0.821978021978022,0.16281175681141646,0.5666666666666667,0.334995854037363,0.7785714285714286,0.20316375219039848,0.7043956043956043,0.220189179949405,0.7,0.298814224608539,0.7769230769230769,0.2214796930598149,0.9357142857142857,0.08718968296952645,0.8428571428571429,0.21618208500602226,0.7999999999999999,0.3142857142857143
